0.30087	-0.73	-1.67	-1.66	99414.83827	6	0	-13	266	-228	-1178	148.1	-4.4	52	36.09
0.30252	1.88	1.21	-1.06	99412.68826	0	0	9	263	-231	-1163	148.1	-4.4	52.1	36.09
0.29607	-0.9	0.11	-1.75	99421.12658	2	16	-10	261	-232	-1157	148.1	-4.4	52	36.09
0.30102	-0.72	0	-1.47	99414.64257	3	-14	6	280	-221	-1142	148.2	-4.4	52	36.09
0.30495	-0.57	1.82	1.67	99409.53253	-10	-22	-18	279	-221	-1168	148.2	-4.3	52	36.09
0.30138	-0.22	-1.03	1.03	99414.17309	0	-7	-4	282	-199	-1158	148.2	-4.3	52.1	36.09
0.29748	1.39	-1.36	0.16	99419.27413	-1	16	-6	265	-225	-1155	148.3	-4.3	52	36.1
0.29433	0.93	1.86	1.82	99423.41867	5	-18	7	259	-230	-1184	148.3	-4.3	52	36.1
0.29847	1.42	0.75	-1.94	99417.9761	4	10	-11	254	-216	-1156	148.3	-4.3	52	36.1
0.30525	1.99	-0.18	1.65	99409.14381	-2	-20	2	264	-220	-1179	148.4	-4.2	52.1	36.1
0.29883	-0.81	0.57	0.58	99417.50463	6	23	-11	275	-220	-1146	148.4	-4.2	52	36.1
0.29484	-0.98	-1.23	0.61	99422.74615	0	-20	13	277	-200	-1164	148.4	-4.2	52	36.1
0.3051	0.07	1.11	1.99	99409.33815	7	8	-22	267	-214	-1178	148.5	-4.2	52	36.1
0.3024	-1.11	-1.38	-1.55	99412.84443	-4	0	15	255	-229	-1172	148.5	-4.3	52	36.1
0.29664	-0.63	-1.12	1.55	99420.37719	8	13	-13	268	-238	-1162	148.5	-4.3	52	36.11
0.3006	0.27	1.29	0.45	99415.19065	-2	-13	2	282	-208	-1172	149.8	-4.3	51.9	36.11
0.29691	1.91	0.39	1.72	99420.02247	4	0	-6	287	-216	-1172	151.2	-4.3	52	36.11
0.29448	-0.22	-1.97	-1.92	99423.22081	2	5	-1	281	-224	-1156	150.6	-4.3	51.9	36.11
