0.000 	0.521 	0.000 	0.521 	0.000 	0.000 	1.480
1.580 	0.530 	0.014 	0.530 	-0.007 	0.267 	1.520
3.080 	0.516 	0.028 	0.516 	-0.028 	0.521 	1.520
4.590 	0.510 	0.041 	0.509 	-0.063 	0.774 	1.560
6.150 	0.510 	0.055 	0.507 	-0.112 	1.030 	1.650
7.550 	0.496 	0.066 	0.492 	-0.170 	1.260 	1.710
9.320 	0.505 	0.081 	0.499 	-0.250 	1.550 	1.880
10.500 	0.484 	0.089 	0.476 	-0.328 	1.750 	1.960
11.900 	0.470 	0.098 	0.459 	-0.417 	1.950 	2.080
13.400 	0.463 	0.108 	0.451 	-0.524 	2.190 	2.260
14.800 	0.453 	0.116 	0.438 	-0.637 	2.400 	2.440
16.000 	0.434 	0.121 	0.416 	-0.744 	2.570 	2.590
17.300 	0.419 	0.126 	0.400 	-0.865 	2.750 	2.770
18.600 	0.404 	0.130 	0.383 	-0.990 	2.930 	2.970
20.200 	0.396 	0.135 	0.372 	-1.140 	3.160 	3.240
20.800 	0.367 	0.132 	0.342 	-1.240 	3.210 	3.350
21.800 	0.346 	0.130 	0.320 	-1.350 	3.330 	3.520
23.400 	0.335 	0.131 	0.308 	-1.510 	3.540 	3.820
23.700 	0.304 	0.124 	0.278 	-1.590 	3.550 	3.900
25.000 	0.287 	0.121 	0.260 	-1.730 	3.710 	4.150
25.900 	0.266 	0.116 	0.239 	-1.850 	3.820 	4.350
26.900 	0.244 	0.109 	0.218 	-1.960 	3.930 	4.550
26.900 	0.214 	0.098 	0.190 	-2.000 	3.890 	4.580
27.900 	0.192 	0.090 	0.170 	-2.120 	4.010 	4.800
28.000 	0.164 	0.078 	0.145 	-2.160 	4.000 	4.840
28.900 	0.141 	0.068 	0.124 	-2.260 	4.100 	5.030
29.400 	0.116 	0.056 	0.101 	-2.320 	4.150 	5.140
30.000 	0.090 	0.045 	0.079 	-2.400 	4.230 	5.280
29.600 	0.062 	0.031 	0.054 	-2.380 	4.160 	5.220
30.500 	0.036 	0.018 	0.031 	-2.460 	4.270 	5.390
30.500 	0.007 	0.003 	0.006 	-2.470 	4.280 	5.400
30.300 	0.016 	-0.008 	-0.014 	-2.450 	4.240 	5.360
